Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian,"Abilene, Texas",1971,2026,16,488,256,232,.525,-7.58,-5.10,0,0,2,2,0,0
2,Air Force,"USAF Academy, Colorado",1958,2026,69,1907,800,1107,.420,-3.03,1.42,0,1,0,4,0,0
3,Akron,"Akron, Ohio",1902,2026,75,1787,1084,703,.607,0.26,-1.64,0,10,7,7,0,0
4,Alabama,"Tuscaloosa, Alabama",1913,2026,113,2965,1845,1119,.622,8.36,5.19,19,10,9,26,1,0
5,Alabama A&M,"Normal, Alabama",2000,2026,27,788,305,483,.387,-16.62,-11.00,0,1,1,1,0,0
6,Alabama State,"Montgomery, Alabama",1983,2026,44,1308,605,703,.463,-13.18,-9.83,0,4,5,5,0,0
7,Albany (NY),"Albany, New York",2000,2026,27,833,395,438,.474,-7.43,-6.11,0,2,5,5,0,0
8,Alcorn State,"Alcorn State, Mississippi",1978,2026,49,1456,627,829,.431,-13.59,-8.59,0,12,6,6,0,0
9,Allegheny Gators,"Meadville, Pennsylvania",1896,1916,21,234,191,41,.823,,,0,0,0,0,0,0
10,American,"Washington, D.C.",1967,2026,60,1706,840,866,.492,-5.88,-4.07,0,8,4,4,0,0
11,Amherst Lord Jeffs,"Amherst, Massachusetts",1901,1902,2,12,12,0,1.000,,,0,0,0,0,0,0
12,Appalachian State,"Boone, North Carolina",1974,2026,53,1577,790,787,.501,-5.41,-3.30,0,11,3,3,0,0
13,Arizona,"Tucson, Arizona",1905,2026,119,2959,1969,989,.666,9.97,5.42,31,27,9,39,4,1
14,Arizona State,"Tempe, Arizona",1912,2026,111,2766,1461,1305,.528,5.25,4.44,7,8,0,17,0,0
15,Arkansas,"Fayetteville, Arkansas",1924,2026,103,2882,1846,1036,.641,8.20,3.62,19,24,7,36,6,1
16,Arkansas State,"State University, Arkansas",1971,2026,56,1643,850,793,.517,-3.44,-3.00,0,8,1,1,0,0
17,Arkansas-Pine Bluff,"Pine Bluff, Arkansas",1999,2026,28,848,252,596,.297,-19.27,-8.16,0,0,1,1,0,0
18,Armstrong Pirates,"Savannah, Georgia",1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
19,Army,"West Point, New York",1903,2026,124,2699,1332,1367,.494,-9.28,-4.80,0,0,0,0,0,0
20,Auburn,"Auburn, Alabama",1906,2026,120,2800,1527,1272,.546,6.58,4.68,11,7,3,14,2,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
21,Augusta Jaguars,"Augusta, Georgia",1985,1991,7,197,64,133,.325,-17.30,-7.99,0,0,0,0,0,0
22,Augustana (IL) Vikings,"Rock Island, Illinois",1902,1917,12,116,81,35,.698,,,0,0,0,0,0,0
23,Austin Peay,"Clarksville, Tennessee",1964,2026,63,1826,914,912,.501,-5.68,-3.53,1,9,5,7,0,0
24,Baker,"Baldwin City, Kansas",1903,1908,6,90,62,28,.689,,,0,0,0,0,0,0
25,Baldwin-Wallace Yellow Jackets,"Berea, Ohio",1948,1953,6,139,82,57,.590,-4.46,1.83,0,0,0,0,0,0
26,Ball State,"Muncie, Indiana",1972,2026,55,1622,853,769,.526,-1.39,-1.08,1,12,7,7,0,0
27,Baltimore Super Bees,"Baltimore, Maryland",1979,1983,5,133,46,87,.346,-13.75,-6.44,0,0,0,0,0,0
28,Baylor,"Waco, Texas",1907,2026,120,2954,1515,1439,.513,3.04,3.20,11,7,0,17,3,1
29,Bellarmine,"Louisville, Kentucky",2021,2026,6,182,75,107,.412,-8.16,-3.36,0,0,1,0,0,0
30,Belmont,"Nashville, Tennessee",2000,2026,27,861,581,280,.675,1.89,-3.14,0,15,8,8,0,0
31,Beloit Buccaneers,"Beloit, Wisconsin",1911,1924,8,95,66,28,.702,,,0,0,0,0,0,0
32,Bethune-Cookman,"Daytona Beach, Florida",1981,2026,45,1346,505,841,.375,-16.20,-9.66,0,3,0,0,0,0
33,Binghamton,"Binghamton, New York",2002,2026,25,745,272,473,.365,-11.58,-5.87,0,1,1,1,0,0
34,Birmingham-Southern Panthers,"Birmingham, Alabama",1920,2006,7,160,97,63,.606,-5.44,-8.72,0,1,0,0,0,0
35,Bloomsburg Huskies,"Bloomsburg, Pennsylvania",1896,1911,15,143,88,55,.615,,,0,0,0,0,0,0
36,Boise State,"Boise, Idaho",1972,2026,55,1644,941,703,.572,1.56,0.09,1,7,6,10,0,0
37,Boston College,"Chestnut Hill, Massachusetts",1946,2026,81,2298,1232,1066,.536,3.15,3.42,8,6,2,18,0,0
38,Boston University,"Boston, Massachusetts",1916,2026,100,2349,1206,1143,.513,-6.83,-5.54,0,8,7,7,0,0
39,Bowling Green,"Bowling Green, Ohio",1916,2026,111,2789,1498,1291,.537,-0.81,-0.25,2,9,0,4,0,0
40,Bradley,"Peoria, Illinois",1903,2026,122,3104,1818,1286,.586,4.77,2.81,12,8,4,9,2,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
41,Brigham Young,"Provo, Utah",1903,2026,124,3156,1988,1168,.630,8.33,3.94,13,25,3,32,0,0
42,Brigham Young College,"Logan, Utah",1908,1908,1,11,10,1,.909,,,0,0,0,0,0,0
43,Brooklyn Bulldogs,"Brooklyn, New York",1934,1992,25,567,233,334,.411,-19.22,-9.63,0,0,0,0,0,0
44,Brown,"Providence, Rhode Island",1901,2026,119,2742,1123,1619,.410,-10.46,-4.46,0,1,0,2,0,0
45,Bryant,"Smithfield, Rhode Island",2009,2026,18,552,227,325,.411,-9.09,-5.71,0,2,2,2,0,0
46,Bucknell,"Lewisburg, Pennsylvania",1896,2026,131,2887,1531,1356,.530,-8.37,-6.78,0,19,8,8,0,0
47,Buffalo,"Buffalo, New York",1907,2026,57,1418,713,705,.503,-4.91,-2.35,1,5,4,4,0,0
48,Butler,"Indianapolis, Indiana",1897,2026,128,2963,1706,1257,.576,2.35,3.63,8,13,7,16,2,0
49,Cal Poly,"San Luis Obispo, California",1995,2026,32,950,356,594,.375,-7.14,-1.71,0,1,1,1,0,0
50,Cal State Bakersfield,"Bakersfield, California",2008,2026,19,588,250,338,.425,-5.59,-2.71,0,1,1,1,0,0
51,Cal State Fullerton,"Fullerton, California",1975,2026,52,1523,720,803,.473,-2.25,-0.39,0,2,4,4,0,0
52,Cal State Los Angeles Golden Eagles,"Los Angeles, California",1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
53,Cal State Northridge,"Northridge, California",1991,2026,36,1082,468,614,.433,-5.48,-1.94,0,3,2,2,0,0
54,California,"Berkeley, California",1908,2026,117,3025,1707,1318,.564,6.90,6.21,5,14,0,19,3,1
55,California Baptist,"Riverside, California",2019,2026,8,249,142,107,.570,-1.92,-3.42,0,0,0,0,0,0
56,Campbell,"Buies Creek, North Carolina",1978,2026,49,1432,612,820,.427,-11.77,-6.84,0,2,1,1,0,0
57,Canisius,"Buffalo, New York",1904,2026,122,2775,1374,1401,.495,-4.28,-1.98,1,8,1,4,0,0
58,Canterbury College,"Danville, Indiana",1931,1931,1,19,19,0,1.000,,,0,0,0,0,0,0
59,Carleton Knights,"Northfield, Minnesota",1910,1934,25,360,280,80,.778,,,0,0,0,0,0,0
60,Carnegie Mellon Tartans,"Pittsburgh, Pennsylvania",1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
61,Case Western Reserve Spartans,"Cleveland, Ohio",1898,1955,13,245,95,150,.388,-18.31,-2.69,0,0,0,0,0,0
62,Catholic Cardinals,"Washington, D.C.",1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
63,Centenary (LA) Gents,"Shreveport, Louisiana",1960,2011,52,1435,637,798,.444,-8.73,-3.97,1,1,1,0,0,0
64,Central Arkansas,"Conway, Arkansas",2007,2026,20,609,201,408,.330,-13.60,-4.58,0,1,0,0,0,0
65,Central Connecticut State,"New Britain, Connecticut",1987,2026,40,1170,481,689,.411,-12.57,-7.85,0,5,3,3,0,0
66,Central Michigan,"Mount Pleasant, Michigan",1974,2026,53,1535,668,867,.435,-4.48,-0.67,0,8,2,4,0,0
67,Central Missouri Mules,"Warrensburg, Missouri",1913,1937,10,178,140,38,.787,,,0,0,0,0,0,0
68,Central Pennsylvania College Knights,"Summerdale, Pennsylvania",1896,1900,4,6,2,4,.333,,,0,0,0,0,0,0
69,Centre (KY) Colonels,"Danville, Kentucky",1910,1919,3,45,41,4,.911,,,0,0,0,0,0,0
70,Charleston Southern,"Charleston, South Carolina",1975,2026,52,1500,604,896,.403,-13.10,-6.87,0,4,4,1,0,0
71,Charlotte,"Charlotte, North Carolina",1973,2026,54,1618,878,740,.543,2.95,1.82,2,6,5,11,1,0
72,Chattanooga,"Chattanooga, Tennessee",1978,2026,49,1524,921,603,.604,-2.31,-3.60,1,21,12,12,0,0
73,Cheyenne Business College,"Cheyenne, Wyoming",1903,1903,1,1,1,0,1.000,,,0,0,0,0,0,0
74,Chicago Maroons,"Chicago, Illinois",1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
75,Chicago State,"Chicago, Illinois",1985,2026,42,1220,315,905,.258,-15.69,-2.33,0,0,1,0,0,0
76,Cincinnati,"Cincinnati, Ohio",1902,2026,125,3058,1947,1111,.637,11.67,5.22,25,25,12,33,6,2
77,City College of New York Beavers,"New York, New York",1906,1953,48,725,517,208,.713,-0.07,2.71,0,1,0,2,2,1
78,Clemson,"Clemson, South Carolina",1912,2026,115,2862,1478,1382,.517,6.08,4.50,8,1,1,15,0,0
79,Cleveland State,"Cleveland, Ohio",1973,2026,54,1609,808,801,.502,-3.60,-1.91,0,6,3,3,0,0
80,Coastal Carolina,"Conway, South Carolina",1987,2026,40,1209,606,603,.501,-7.94,-5.96,0,7,5,4,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
81,Colgate,"Hamilton, New York",1901,2026,126,2904,1426,1478,.491,-10.07,-5.66,0,9,7,7,0,0
82,College of Charleston,"Charleston, South Carolina",1992,2026,35,1094,755,339,.690,1.10,-3.92,2,15,6,7,0,0
83,College of New Jersey Lions,"Ewing, New Jersey",1900,1900,1,5,3,2,.600,,,0,0,0,0,0,0
84,Colorado,"Boulder, Colorado",1902,2026,123,2765,1458,1307,.527,5.69,6.19,6,19,1,16,2,0
85,Colorado College Tigers,"Colorado Springs, Colorado",1915,1937,23,376,233,143,.620,,,0,7,0,0,0,0
86,Colorado School of Mines Orediggers,"Golden, Colorado",1908,1937,28,280,78,202,.279,,,0,2,0,0,0,0
